RowName,ItemID,ItemClassRef,ItemIconTextureRef,ParticleEffectRef,SoundEffectRef,Description
Tomato_Low,Tomato_Low,/Game/Item/Crops/BP_CItem_Tomato_Low.BP_CItem_Tomato_Low_C,/Game/Item/Icons/CropIcon_Tomato,,,Tomatoes are less than ideal. They are unevenly grown.
Tomato_Normal,Tomato_Normal,/Game/Item/Crops/BP_CItem_Tomato_Normal.BP_CItem_Tomato_Normal_C,/Game/Item/Icons/CropIcon_Tomato,,,Tomatoes are in good condition. They appear to be well-grown.
Tomato_High,Tomato_High,/Game/Item/Crops/BP_CItem_Tomtato_High.BP_CItem_Tomtato_High_C,/Game/Item/Icons/CropIcon_Tomato,,,Tomatoes are in peak  condition. They look incredibly appetizingy.
Berry_Low,Berry_Low,/Game/Item/Crops/BP_CItem_Berry_Low.BP_CItem_Berry_Low_C,/Game/Item/Icons/CropIcon_Berry,,,Berry's condition is not good. I think it's better to use it to make jam.
Berry_Normal,Berry_Normal,/Game/Item/Crops/BP_CItem_Berry_Normal.BP_CItem_Berry_Normal_C,/Game/Item/Icons/CropIcon_Berry,,,The berries are in exellent condition. I think they'll be suitable for a snack.
Berry_High,Berry_High,/Game/Item/Crops/BP_CItem_Berry_High.BP_CItem_Berry_High_C,/Game/Item/Icons/CropIcon_Berry,,,The berries are at their peak. They are bursting with flavor and sweetness
Carrot_Low,Carrot_Low,,/Game/Item/Icons/CropIcon_Carrot,,,The carrots are not in good condition. They are small and underdeveloped. I think it's best to use them for juicing or making carrot puree.
Carrot_Normal,Carrot_Normal,,/Game/Item/Icons/CropIcon_Carrot,,,"The carrots are in good condition. They are well-formed and have a vibrant color. I think they'll be delicious roasted, stir-fried, or added to soups and stews."
Carrot_High,Carrot_High,,/Game/Item/Icons/CropIcon_Carrot,,,"The carrots are in excellent condition. They are large, firm, and have a deep orange color. They look incredibly appetizing and are perfect for eating raw, adding to salads, or showcasing in a beautiful dish"
Seed_Tomato,Seed_Tomato,/Game/Item/Consumable/Seeds/Seed_Tomato.Seed_Tomato_C,/Game/Item/Icons/SeedIcon_Tomato,,,"Can be planted in the ground to harvest red and juicy tomatoes. Usage: Interact with tilled ground to plant. The ground must be empty of other crops, and these seeds must be in your active quickslot. Press the plant button to consume the seeds and grow tomatoes.

Seeds of the tomato, a versatile ingredient in many dishes. They take longer to grow than berries but yield a larger amount of food."
Seed_Berry,Seed_Berry,/Game/Item/Consumable/Seeds/Seed_Berry.Seed_Berry_C,/Game/Item/Icons/SeedIcon_Berry,,,"Can be planted in the ground to harvest berries.

Usage: Interact with tilled ground to plant. The ground must be empty of other crops, and these seeds must be in your active quickslot. Press the plant button to consume the seeds and grow berries.

Seeds of the berry, which yields small, red fruits. They grow relatively quickly, making them useful for early food acquisition."
Seed_Carrot,Seed_Carrot,/Game/Item/Consumable/Seeds/Seed_Carrot.Seed_Carrot_C,/Game/Item/Icons/SeedIcon_Carrot,,,"Can be planted in the ground to harvest crisp and sweet carrots.

Usage: Interact with tilled ground to plant. The ground must be empty of other crops, and these seeds must be in your active quickslot. Press the plant button to consume the seeds and grow carrots.

Seeds of the carrot, a root vegetable. They have a similar growth time to tomatoes and offer a unique texture and nutrients."
WaterCan,WaterCan,/Game/Item/Tools/BP_CItem_WateringCan.BP_CItem_WateringCan_C,/Game/Item/Icons/WateringCanIcon,,,A tool for tending to your crops. Interact with FarmFields to apply water and increase their Moisture.
