RowName,ItemID,SocketName,Location,Rotation,Scale
Tomato_Low,Tomato_Low,hand_r_weapon_socket,"(X=0, Y= 0, Z=0)","(X=0, Y= 0, Z=0)","(X=1, Y= 1, Z=1)"
Tomato_Normal,Tomato_Normal,hand_r_weapon_socket,"(X=0, Y= 0, Z=1)","(X=0, Y= 0, Z=1)","(X=1, Y= 1, Z=1)"
Tomato_High,Tomato_High,hand_r_weapon_socket,"(X=0, Y= 0, Z=2)","(X=0, Y= 0, Z=2)","(X=1, Y= 1, Z=1)"
Berry_Low,Berry_Low,hand_r_weapon_socket,"(X=0, Y= 0, Z=3)","(X=0, Y= 0, Z=3)","(X=1, Y= 1, Z=1)"
Berry_Normal,Berry_Normal,hand_r_weapon_socket,"(X=0, Y= 0, Z=4)","(X=0, Y= 0, Z=4)","(X=1, Y= 1, Z=1)"
Berry_High,Berry_High,hand_r_weapon_socket,"(X=0, Y= 0, Z=5)","(X=0, Y= 0, Z=5)","(X=1, Y= 1, Z=1)"
Carrot_Low,Carrot_Low,hand_r_weapon_socket,"(X=0, Y= 0, Z=6)","(X=0, Y= 0, Z=6)","(X=1, Y= 1, Z=1)"
Carrot_Normal,Carrot_Normal,hand_r_weapon_socket,"(X=0, Y= 0, Z=7)","(X=0, Y= 0, Z=7)","(X=1, Y= 1, Z=1)"
Carrot_High,Carrot_High,hand_r_weapon_socket,"(X=0, Y= 0, Z=8)","(X=0, Y= 0, Z=8)","(X=1, Y= 1, Z=1)"
Seed_Tomato,Seed_Tomato,hand_r_weapon_socket,"(X=0, Y= 0, Z=9)","(X=0, Y= 0, Z=9)","(X=1, Y= 1, Z=1)"
Seed_Berry,Seed_Berry,hand_r_weapon_socket,"(X=0, Y= 0, Z=10)","(X=0, Y= 0, Z=10)","(X=1, Y= 1, Z=1)"
Seed_Carrot,Seed_Carrot,hand_r_weapon_socket,"(X=0, Y= 0, Z=11)","(X=0, Y= 0, Z=11)","(X=1, Y= 1, Z=1)"
WaterCan,WaterCan,hand_r_weapon_socket,"(X=0, Y= 0, Z=12)","(X=0, Y= 0, Z=12)","(X=1, Y= 1, Z=1)"
